Camera Name: Beamage-3.0
Serial Number: 271193
Firmware: 1.70
Description: USB3.0 Beam Profiling Camera
ADC level: 12 bits 
Sampling Rate: 1 / 1 pulse(s)
Total Duration: 0:0:0:30 (DD:HH:MM:SS)
_______________________________________________________________
Date	 Elapsed time(sec)	 dSigma X(um)	 dSigma Y (um)	 Effective Diameter(um)	 Ellipticity(%)	 Orientation(degrees)	 Centroid X(um)	 Centroid y(um)	 Peak X(um)	 Peak Y(um)	 Peak Saturation level(%)	 Peak to Average Ratio X	 Peak to Average Ratio Y	 X Baseline Position	 Y Baseline Position	 Delta Centroid X	 Delta Centroid Y	 Delta Peak X	 Delta Peak Y	  
 15:45:02, Thursday, March 20, 2025	0.562	1589.5	1452.0	-	91.3	0.0	2603.0	7.6	2596.0	-88.0	98.5	1.6	1.6	0.0	0.0	2603.0	7.6	2596.0	-88.0
15:45:03, Thursday, March 20, 2025	1.250	1589.5	1452.0	-	91.3	0.0	2603.1	8.2	2574.0	-88.0	98.5	1.6	1.6	0.0	0.0	2603.1	8.2	2574.0	-88.0
15:45:03, Thursday, March 20, 2025	1.906	1589.5	1452.0	-	91.3	0.0	2603.1	7.7	2585.0	-93.5	98.5	1.6	1.6	0.0	0.0	2603.1	7.7	2585.0	-93.5
15:45:04, Thursday, March 20, 2025	2.531	1589.5	1452.0	-	91.3	0.0	2603.0	8.0	2618.0	-88.0	98.5	1.6	1.6	0.0	0.0	2603.0	8.0	2618.0	-88.0
15:45:05, Thursday, March 20, 2025	3.156	1589.5	1452.0	-	91.3	0.0	2603.0	7.9	2612.5	-88.0	98.5	1.6	1.6	0.0	0.0	2603.0	7.9	2612.5	-88.0
15:45:05, Thursday, March 20, 2025	3.766	1589.5	1457.5	-	91.7	0.0	2603.0	7.6	2612.5	-88.0	98.5	1.6	1.6	0.0	0.0	2603.0	7.6	2612.5	-88.0
15:45:06, Thursday, March 20, 2025	4.391	1589.5	1452.0	-	91.3	0.0	2603.1	7.8	2618.0	-88.0	98.5	1.6	1.6	0.0	0.0	2603.1	7.8	2618.0	-88.0
15:45:06, Thursday, March 20, 2025	5.031	1589.5	1452.0	-	91.3	0.0	2603.0	7.9	2601.5	-99.0	98.5	1.6	1.6	0.0	0.0	2603.0	7.9	2601.5	-99.0
15:45:07, Thursday, March 20, 2025	5.672	1589.5	1452.0	-	91.3	0.0	2603.0	8.0	2629.0	-82.5	98.5	1.6	1.6	0.0	0.0	2603.0	8.0	2629.0	-82.5
15:45:08, Thursday, March 20, 2025	6.250	1589.5	1452.0	-	91.3	0.0	2603.0	7.9	2546.5	-77.0	98.5	1.6	1.6	0.0	0.0	2603.0	7.9	2546.5	-77.0
