Camera Name: Beamage-3.0
Serial Number: 271193
Firmware: 1.70
Description: USB3.0 Beam Profiling Camera
ADC level: 12 bits 
Sampling Rate: 1 / 1 pulse(s)
Total Duration: 0:0:0:30 (DD:HH:MM:SS)
_______________________________________________________________
Date	 Elapsed time(sec)	 dSigma X(um)	 dSigma Y (um)	 Effective Diameter(um)	 Ellipticity(%)	 Orientation(degrees)	 Centroid X(um)	 Centroid y(um)	 Peak X(um)	 Peak Y(um)	 Peak Saturation level(%)	 Peak to Average Ratio X	 Peak to Average Ratio Y	 X Baseline Position	 Y Baseline Position	 Delta Centroid X	 Delta Centroid Y	 Delta Peak X	 Delta Peak Y	  
 15:43:45, Thursday, March 20, 2025	0.391	1600.5	1457.5	-	91.1	0.0	2500.6	53.8	2508.0	-27.5	98.5	1.6	1.6	0.0	0.0	2500.6	53.8	2508.0	-27.5
15:43:45, Thursday, March 20, 2025	1.000	1600.5	1463.0	-	91.4	0.0	2500.7	53.7	2491.5	-27.5	98.5	1.6	1.6	0.0	0.0	2500.7	53.7	2491.5	-27.5
15:43:46, Thursday, March 20, 2025	1.641	1595.0	1457.5	-	91.4	0.0	2500.5	53.7	2491.5	-27.5	98.5	1.6	1.6	0.0	0.0	2500.5	53.7	2491.5	-27.5
15:43:47, Thursday, March 20, 2025	2.235	1600.5	1457.5	-	91.1	0.0	2500.6	53.7	2453.0	-16.5	98.5	1.6	1.6	0.0	0.0	2500.6	53.7	2453.0	-16.5
15:43:47, Thursday, March 20, 2025	2.875	1600.5	1457.5	-	91.1	0.0	2500.7	53.7	2458.5	-22.0	98.5	1.6	1.6	0.0	0.0	2500.7	53.7	2458.5	-22.0
15:43:48, Thursday, March 20, 2025	3.485	1606.0	1457.5	-	90.8	0.0	2500.6	53.9	2475.0	-22.0	98.5	1.6	1.6	0.0	0.0	2500.6	53.9	2475.0	-22.0
15:43:49, Thursday, March 20, 2025	4.125	1595.0	1457.5	-	91.4	0.0	2500.5	53.8	2497.0	-22.0	98.5	1.6	1.6	0.0	0.0	2500.5	53.8	2497.0	-22.0
15:43:49, Thursday, March 20, 2025	4.735	1600.5	1457.5	-	91.1	0.0	2500.5	53.9	2475.0	-27.5	98.5	1.6	1.6	0.0	0.0	2500.5	53.9	2475.0	-27.5
15:43:50, Thursday, March 20, 2025	5.328	1595.0	1457.5	-	91.4	0.0	2500.5	53.9	2464.0	-22.0	98.5	1.6	1.6	0.0	0.0	2500.5	53.9	2464.0	-22.0
15:43:50, Thursday, March 20, 2025	5.953	1600.5	1457.5	-	91.1	0.0	2500.5	53.8	2497.0	-27.5	98.5	1.6	1.6	0.0	0.0	2500.5	53.8	2497.0	-27.5
15:43:51, Thursday, March 20, 2025	6.563	1600.5	1463.0	-	91.4	0.0	2500.5	53.6	2502.5	-27.5	98.5	1.6	1.6	0.0	0.0	2500.5	53.6	2502.5	-27.5
15:43:52, Thursday, March 20, 2025	7.188	1606.0	1457.5	-	90.8	0.0	2500.6	53.6	2453.0	-16.5	98.5	1.6	1.6	0.0	0.0	2500.6	53.6	2453.0	-16.5
15:43:52, Thursday, March 20, 2025	7.781	1595.0	1457.5	-	91.4	0.0	2500.6	53.8	2508.0	-27.5	98.5	1.6	1.6	0.0	0.0	2500.6	53.8	2508.0	-27.5
15:43:53, Thursday, March 20, 2025	8.375	1606.0	1457.5	-	90.8	0.0	2500.6	53.6	2469.5	-38.5	98.5	1.6	1.6	0.0	0.0	2500.6	53.6	2469.5	-38.5
