Camera Name: Beamage-3.0
Serial Number: 271193
Firmware: 1.70
Description: USB3.0 Beam Profiling Camera
ADC level: 12 bits 
Sampling Rate: 1 / 1 pulse(s)
Total Duration: 0:0:0:30 (DD:HH:MM:SS)
_______________________________________________________________
Date	 Elapsed time(sec)	 dSigma X(um)	 dSigma Y (um)	 Effective Diameter(um)	 Ellipticity(%)	 Orientation(degrees)	 Centroid X(um)	 Centroid y(um)	 Peak X(um)	 Peak Y(um)	 Peak Saturation level(%)	 Peak to Average Ratio X	 Peak to Average Ratio Y	 X Baseline Position	 Y Baseline Position	 Delta Centroid X	 Delta Centroid Y	 Delta Peak X	 Delta Peak Y	  
 15:36:26, Thursday, March 20, 2025	0.500	1622.5	1490.5	-	91.9	0.0	-1961.4	436.4	-1842.5	462.0	98.6	1.6	1.6	0.0	0.0	-1961.4	436.4	-1842.5	462.0
15:36:27, Thursday, March 20, 2025	1.172	1622.5	1490.5	-	91.9	0.0	-1961.4	436.2	-1837.0	462.0	98.6	1.6	1.6	0.0	0.0	-1961.4	436.2	-1837.0	462.0
15:36:27, Thursday, March 20, 2025	1.828	1622.5	1490.5	-	91.9	0.0	-1961.4	436.1	-1853.5	467.5	98.6	1.6	1.6	0.0	0.0	-1961.4	436.1	-1853.5	467.5
15:36:28, Thursday, March 20, 2025	2.438	1622.5	1490.5	-	91.9	0.0	-1961.3	436.2	-1837.0	467.5	98.6	1.6	1.6	0.0	0.0	-1961.3	436.2	-1837.0	467.5
15:36:29, Thursday, March 20, 2025	3.016	1622.5	1490.5	-	91.9	0.0	-1961.3	436.4	-1859.0	467.5	98.6	1.6	1.6	0.0	0.0	-1961.3	436.4	-1859.0	467.5
15:36:29, Thursday, March 20, 2025	3.610	1622.5	1490.5	-	91.9	0.0	-1961.4	436.1	-1848.0	462.0	98.6	1.6	1.6	0.0	0.0	-1961.4	436.1	-1848.0	462.0
15:36:30, Thursday, March 20, 2025	4.203	1622.5	1490.5	-	91.9	0.0	-1961.2	436.2	-1859.0	467.5	98.6	1.6	1.6	0.0	0.0	-1961.2	436.2	-1859.0	467.5
15:36:30, Thursday, March 20, 2025	4.797	1622.5	1490.5	-	91.9	0.0	-1961.2	436.0	-1859.0	467.5	98.6	1.6	1.6	0.0	0.0	-1961.2	436.0	-1859.0	467.5
15:36:31, Thursday, March 20, 2025	5.375	1622.5	1490.5	-	91.9	0.0	-1961.2	436.2	-1859.0	467.5	98.6	1.6	1.6	0.0	0.0	-1961.2	436.2	-1859.0	467.5
15:36:32, Thursday, March 20, 2025	5.953	1628.0	1490.5	-	91.6	0.0	-1961.2	435.9	-1831.5	462.0	98.6	1.6	1.6	0.0	0.0	-1961.2	435.9	-1831.5	462.0
15:36:32, Thursday, March 20, 2025	6.532	1622.5	1490.5	-	91.9	0.0	-1961.3	436.5	-1859.0	467.5	98.6	1.6	1.6	0.0	0.0	-1961.3	436.5	-1859.0	467.5
